            Index    Fatigue    NT    THT    CT    DT    QmT    TT    THt    Ct    Dt    Tt    THQCr    TCr    C    Si    Mn    P    S    Ni    Cr    Cu    Mo
              2      235.00000      885.00000       30.00000       30.00000       30.00000       30.00000       30.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.25000        0.18000        0.44000        0.00900        0.01700        0.08000        0.12000        0.08000        0.00000
             15      394.00000      865.00000      865.00000       30.00000       30.00000       30.00000      550.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.36000        0.26000        0.70000        0.00900        0.02300        0.08000        0.12000        0.09000        0.00000
             23      379.00000      865.00000      865.00000       30.00000       30.00000       30.00000      550.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.32000        0.21000        0.63000        0.00700        0.01700        0.06000        0.10000        0.08000        0.00000
             34      389.00000      865.00000      865.00000       30.00000       30.00000       30.00000      600.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.37000        0.24000        0.72000        0.01500        0.02000        0.02000        0.02000        0.02000        0.00000
             46      365.00000      865.00000      865.00000       30.00000       30.00000       30.00000      650.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.37000        0.24000        0.72000        0.01500        0.02000        0.02000        0.02000        0.02000        0.00000
             64      463.00000      845.00000      845.00000       30.00000       30.00000       30.00000      600.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.48000        0.25000        0.75000        0.02400        0.02200        0.02000        0.10000        0.01000        0.00000
             71      395.00000      845.00000      845.00000       30.00000       30.00000       30.00000      650.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.45000        0.26000        0.76000        0.02700        0.01900        0.01000        0.11000        0.02000        0.00000
             76      396.00000      845.00000      845.00000       30.00000       30.00000       30.00000      650.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.47000        0.25000        0.72000        0.01500        0.01000        0.13000        0.04000        0.04000        0.00000
             78      415.00000      845.00000      845.00000       30.00000       30.00000       30.00000      650.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.49000        0.26000        0.80000        0.02700        0.02300        0.02000        0.09000        0.01000        0.00000
             83      489.00000      825.00000      825.00000       30.00000       30.00000       30.00000      550.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.52000        0.29000        0.83000        0.01600        0.02500        0.04000        0.04000        0.02000        0.00000
             84      500.00000      825.00000      825.00000       30.00000       30.00000       30.00000      550.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.56000        0.26000        0.37000        0.01900        0.02600        0.04000        0.13000        0.11000        0.00000
             96      445.00000      825.00000      825.00000       30.00000       30.00000       30.00000      600.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.54000        0.20000        0.75000        0.01300        0.01900        0.01000        0.01000        0.01000        0.00000
            101      464.00000      825.00000      825.00000       30.00000       30.00000       30.00000      600.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.52000        0.21000        0.80000        0.02100        0.02100        0.02000        0.10000        0.02000        0.00000
            104      418.00000      825.00000      825.00000       30.00000       30.00000       30.00000      650.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.54000        0.26000        0.76000        0.02200        0.02100        0.02000        0.12000        0.01000        0.00000
            114      582.00000      870.00000      855.00000       30.00000       30.00000       30.00000      550.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.43000        0.24000        0.74000        0.02200        0.01300        0.03000        1.12000        0.02000        0.00000
            118      536.00000      870.00000      855.00000       30.00000       30.00000       30.00000      550.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.39000        0.25000        0.73000        0.01100        0.00500        0.06000        0.98000        0.11000        0.00000
            132      482.00000      870.00000      855.00000       30.00000       30.00000       30.00000      650.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.40000        0.31000        0.78000        0.01200        0.01000        0.07000        1.10000        0.13000        0.00000
            140      578.00000      870.00000      855.00000       30.00000       30.00000       30.00000      550.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.36000        0.27000        0.79000        0.01200        0.00700        0.03000        1.03000        0.04000        0.17000
            156      490.00000      870.00000      855.00000       30.00000       30.00000       30.00000      600.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.34000        0.25000        0.72000        0.01900        0.01100        0.12000        1.01000        0.10000        0.17000
            161      535.00000      870.00000      855.00000       30.00000       30.00000       30.00000      600.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.33000        0.27000        0.69000        0.01500        0.00800        0.04000        0.99000        0.05000        0.18000
            171      489.00000      870.00000      855.00000       30.00000       30.00000       30.00000      650.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.36000        0.35000        0.74000        0.01600        0.02000        0.05000        0.97000        0.12000        0.15000
            179      476.00000      870.00000      855.00000       30.00000       30.00000       30.00000      650.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.34000        0.29000        0.71000        0.01900        0.01300        0.11000        1.05000        0.12000        0.16000
            198      550.00000      870.00000      855.00000       30.00000       30.00000       30.00000      600.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.40000        0.26000        0.77000        0.01800        0.00500        0.05000        0.98000        0.13000        0.17000
            208      577.00000      870.00000      855.00000       30.00000       30.00000       30.00000      600.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.40000        0.25000        0.74000        0.01400        0.02800        0.24000        0.96000        0.10000        0.18000
            211      496.00000      870.00000      855.00000       30.00000       30.00000       30.00000      650.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.39000        0.27000        0.86000        0.01900        0.00800        0.10000        0.96000        0.12000        0.17000
            220      496.00000      870.00000      855.00000       30.00000       30.00000       30.00000      650.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.40000        0.26000        0.74000        0.02400        0.01700        0.13000        1.01000        0.15000        0.17000
            222      517.00000      870.00000      855.00000       30.00000       30.00000       30.00000      650.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.40000        0.22000        0.70000        0.01000        0.00400        0.04000        0.94000        0.12000        0.17000
            237      406.00000      870.00000      845.00000       30.00000       30.00000       30.00000      600.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.38000        0.21000        1.59000        0.01700        0.01500        0.03000        0.20000        0.05000        0.00000
            262      497.00000      870.00000      845.00000       30.00000       30.00000       30.00000      600.00000       30.00000        0.00000        0.00000       60.00000        8.00000       24.00000        0.42000        0.21000        1.51000        0.02600        0.01900        0.02000        0.12000        0.01000        0.00000
